274,4,3,1316318400
654,4,3,1305259200
910,4,3,1306296000
1091,4,3,1304049600
1401,4,3,1300248000
84,4,3,1308024000
531,4,3,1302235200
237,4,3,1297486800
270,4,3,1304222400
45,4,3,1302667200
501,4,3,1294894800
710,4,3,1297918800
91,4,3,1291525200
583,4,2,1309060800
1702,4,2,1309665600
3356,4,2,1392958800
95,4,2,1350619200
22,4,2,1347249600
21,4,2,1344571200
11,4,2,1331870400
47,4,2,1325912400
156,4,2,1324270800
733,4,2,1312948800
356,4,2,1307937600
1678,4,2,1307419200
1010,4,2,1307419200
7596,4,2,1307332800
781,4,2,1307246400
2017,4,2,1307764800
2002,4,2,1307160000
572,4,2,1306987200
202,4,2,1306468800
664,4,2,1306814400
1636,4,2,1306296000
181,4,2,1305691200
326,4,2,1305345600
341,4,2,1305345600
538,4,2,1305259200
88,4,2,1306296000
1233,4,2,1305000000
111,4,2,1304740800
115,7,1,1367208000
253,7,1,1367121600
70,7,1,1364011200
1059,7,1,1363838400
6014,7,1,1363147200
3145,7,1,1362286800
1360,7,1,1361854800
296,7,1,1361595600
1649,7,1,1356930000
621,7,1,1356757200
3002,7,1,1356325200
2302,7,1,1356152400
2301,7,1,1356066000
22,7580,-5,1349841600
22,7535,-5,1347681600
22,7603,-5,1347854400
22,7593,-5,1334289600
22,7555,-10,1353474000
1082,23,8,1302840000
440,23,6,1303790400
437,23,6,1302148800
656,23,6,1301889600
1456,23,5,1307592000
